id;ruolo;nome;squadra;partiteGiocate;mediaVoto;mediaFantaVoto;goalFatti;goalSubiti;rp;rc;r+;r-;assist;asf;ammonizioni;espulsioni;autoGoal;isFavorite
574;P;SCUFFET;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
578;D;DANILO LAR.;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
581;D;FARAONI;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
589;C;BADU;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
600;C;VERRE;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
608;A;ZAPATA D.;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
610;P;GOLLINI;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
611;P;RAFAEL;Spezia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
627;C;IONITA;Benevento;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
630;D;SALA;Spezia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
632;C;ZACCAGNI;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
633;C;FARES;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
637;A;SILIGARDI;Crotone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
640;D;CHIRICHES;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
643;A;DEFREL;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
644;C;PULGAR;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
645;C;MILINKOVIC-SAVIC;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
647;A;DZEKO;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
652;A;KALINIC;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
654;P;ALASTRA;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
662;D;ALEX SANDRO;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
669;C;DONSAH;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
673;P;PERISAN;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
695;D;TOLOI;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
697;D;CUADRADO;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
704;C;PERISIC;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
706;D;ANSALDI;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
729;D;PEREIRA P.;Crotone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
761;P;AUDERO;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
767;A;TUPTA;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
770;D;PEZZELLA GIU.;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
772;C;KRAGL;Benevento;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
779;C;CRISTANTE;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
785;A;IMMOBILE;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
787;D;DJIMSITI;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
788;C;FREULER;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
